Country,Villages,adj_reef_tourism_USD_per_ha,adj_reef_flood_BC_USD20,reef_food,mangrove_tourism,mangrove_carbon_seq,mangrove_food,seagrass_carbon_seq,seagrass_food,Coral,Crop,Mangrove,Seagrass
Kenya,Faza,377.5562368,1091.694634,"1,184.00","2,979.89","1,920.19",13,758.66,23,"2,653.25",322.54,"4,913.08",781.66
Kenya,Kiwayu,303.750276,2500.046597,"1,184.00","2,979.89","1,920.19",13,758.66,23,"3,987.80",322.54,"4,913.08",781.66
Kenya,Ndau,303.750276,2500.046597,"1,184.00","2,979.89","1,920.19",13,758.66,23,"3,987.80",322.54,"4,913.08",781.66
Kenya,Matondoni,406.443547,1756.740303,"1,184.00","2,979.89","1,920.19",13,758.66,23,"3,347.18",322.54,"4,913.08",781.66
Kenya,Uyombo,1733.222807,13425.90769,"1,184.00","2,979.89","1,920.19",13,758.66,23,"16,343.13",322.54,"4,913.08",781.66
Kenya,Mida,1178.951732,28143.49674,"1,184.00","2,979.89","1,920.19",13,758.66,23,"30,506.45",322.54,"4,913.08",781.66
Kenya,Gazi,2363.967603,31596.71621,"1,184.00","2,979.89","1,920.19",13,758.66,23,"35,144.68",322.54,"4,913.08",781.66
Kenya,Vanga,1493.731489,8954.745901,"1,184.00","2,979.89","1,920.19",13,758.66,23,"11,632.48",322.54,"4,913.08",781.66
Tanzania,Boma Subutuni,770.8579404,6277.636009,"1,184.00","2,979.89","1,920.19",13,758.66,23,"8,232.49",357.99,"4,913.08",781.66
Tanzania,Moa,770.8579404,6277.636009,"1,184.00","2,979.89","1,920.19",13,758.66,23,"8,232.49",357.99,"4,913.08",781.66
Tanzania,Mwandusi,770.8579404,6277.636009,"1,184.00","2,979.89","1,920.19",13,758.66,23,"8,232.49",357.99,"4,913.08",781.66
Tanzania,Ndumbani,770.8579404,6277.636009,"1,184.00","2,979.89","1,920.19",13,758.66,23,"8,232.49",357.99,"4,913.08",781.66
Tanzania,Kwale,515.4125236,13059.96216,"1,184.00","2,979.89","1,920.19",13,758.66,23,"14,759.37",357.99,"4,913.08",781.66
Tanzania,Mtambwe,526.2135184,6505.1199,"1,184.00","2,979.89","1,920.19",13,758.66,23,"8,215.33",357.99,"4,913.08",781.66
Tanzania,Gando,526.2135184,6505.1199,"1,184.00","2,979.89","1,920.19",13,758.66,23,"8,215.33",357.99,"4,913.08",781.66
Tanzania,Kangagani,600.2016184,7916.062584,"1,184.00","2,979.89","1,920.19",13,758.66,23,"9,700.26",357.99,"4,913.08",781.66
Tanzania,Mjini Kiuyu,600.2016184,7916.062584,"1,184.00","2,979.89","1,920.19",13,758.66,23,"9,700.26",357.99,"4,913.08",781.66
Tanzania,Selemu,600.2016184,7916.062584,"1,184.00","2,979.89","1,920.19",13,758.66,23,"9,700.26",357.99,"4,913.08",781.66
Madagascar,Lagnamena,130.955705,876.3113139,"1,184.00","2,979.89","1,920.19",13,758.66,23,"2,191.27",580.06,"4,913.08",781.66
Madagascar,Maromanjo,132.820053,985.9374102,"1,184.00","2,979.89","1,920.19",13,758.66,23,"2,302.76",580.06,"4,913.08",781.66
Madagascar,Andranoboka,261.586289,1010.591093,"1,184.00","2,979.89","1,920.19",13,758.66,23,"2,456.18",580.06,"4,913.08",781.66
Madagascar,Besakoa,189.3071212,1106.063642,"1,184.00","2,979.89","1,920.19",13,758.66,23,"2,479.37",580.06,"4,913.08",781.66
Madagascar,Tsinjoarivo,189.3071212,1106.063642,"1,184.00","2,979.89","1,920.19",13,758.66,23,"2,479.37",580.06,"4,913.08",781.66
Madagascar,Antafiatambalaka,204.4259425,1483.692729,"1,184.00","2,979.89","1,920.19",13,758.66,23,"2,872.12",580.06,"4,913.08",781.66
Madagascar,Analanabe,297.4348682,1470.673779,"1,184.00","2,979.89","1,920.19",13,758.66,23,"2,952.11",580.06,"4,913.08",781.66
Mozambique,Cumbane,3533.265094,9857.662193,"1,184.00","2,979.89","1,920.19",13,758.66,23,"14,574.93",218.66,"4,913.08",781.66
Mozambique,Mahilene,3533.265094,9857.662193,"1,184.00","2,979.89","1,920.19",13,758.66,23,"14,574.93",218.66,"4,913.08",781.66
Mozambique,Gazene,3876.910492,10105.02307,"1,184.00","2,979.89","1,920.19",13,758.66,23,"15,165.93",218.66,"4,913.08",781.66
Mozambique,Farol,7544.376029,10191.99072,"1,184.00","2,979.89","1,920.19",13,758.66,23,"18,920.37",218.66,"4,913.08",781.66
