ID,Country,Villages
DI123,Madagascar,Analanabe
DH123,Madagascar,Andranoboka
DH125,Madagascar,Antafiatambalaka
DH124,Madagascar,Besakoa
DC127,Madagascar,Lagnamena
DC128,Madagascar,Maromanjo
DH124,Madagascar,Tsinjoarivo
ET70,Mozambique,Cumbane
EX67,Mozambique,Farol
EW66,Mozambique,Gazene
ET70,Mozambique,Mahilene
BQ92,Tanzania,Boma Subutuni
BR94,Tanzania,Gando
BR95,Tanzania,Kangagani
BR92,Tanzania,Kwale
BR95,Tanzania,Mjini Kiuyu
BQ92,Tanzania,Moa
BR94,Tanzania,Mtambwe
BQ92,Tanzania,Mwandusi
BQ92,Tanzania,Ndumbani
BR95,Tanzania,Selemu
BF100,Kenya,Faza
BO94,Kenya,Gazi
BF101,Kenya,Kiwayu
BG99,Kenya,Matondoni
BK96,Kenya,Mida
BF101,Kenya,Ndau
BK95,Kenya,Uyombo
BP93,Kenya,Vanga
