,,,,Impacts,,,,Residual risk,,,,,,,
ISO3,Villages,SS,AC,SSP2-4.5,SSP3-7.0,SSP5-8.5,,SSP2-4.5,SSP3-7.0,SSP5-85,,TEV,SSP245,SSP370,SSP585
KEN,Faza,0.48,0.44,0.56,0.61,0.73,,0.18,0.20,0.23,,14525849,2332241,2563426,3099973
KEN,Gazi,0.45,0.47,0.53,0.56,0.70,,0.04,0.04,0.05,,48054233,638549,759878,1222892
KEN,Kiwayu,0.41,0.45,0.65,0.70,0.80,,0.01,0.01,0.01,,30063012,-520151,-506736,-476531
KEN,Matondoni,0.51,0.44,0.55,0.61,0.72,,0.25,0.28,0.33,,14730042,3420330,3797326,4594246
KEN,Mida,0.55,0.50,0.53,0.56,0.69,,0.19,0.20,0.25,,19634838,3403828,3613579,4568151
KEN,Ndau,0.46,0.43,0.65,0.70,0.80,,0.19,0.20,0.23,,30063012,5054606,5439423,6305862
KEN,Uyombo,0.50,0.49,0.58,0.60,0.76,,0.11,0.11,0.14,,21369715,1861723,1951974,2581936
KEN,Vanga,0.56,0.46,0.51,0.55,0.68,,0.30,0.32,0.39,,19402695,5471289,5842498,7333765
MDG,Analanabe,0.50,0.48,0.48,0.52,0.59,,0.14,0.15,0.17,,13307857,1565270,1747545,2016230
MDG,Andranoboka,0.57,0.45,0.35,0.42,0.51,,0.26,0.32,0.38,,18693682,4586323,5639247,6915944
MDG,Antafiatambalaka,0.53,0.48,0.42,0.47,0.57,,0.19,0.21,0.26,,19798715,3362252,3874440,4717003
MDG,Besakoa,0.56,0.47,0.50,0.55,0.62,,0.31,0.34,0.38,,9345520,2735670,3004955,3415831
MDG,Lagnamena,0.54,0.46,0.37,0.46,0.56,,0.22,0.27,0.33,,11705607,2314367,2975596,3671902
MDG,Maromanjo,0.59,0.44,0.41,0.45,0.54,,0.37,0.41,0.49,,9566786,3358049,3769801,4536504
MDG,Tsinjoarivo,0.56,0.41,0.50,0.55,0.62,,0.49,0.54,0.61,,9345520,4494799,4924123,5579186
MOZ,Cumbane,0.47,0.42,0.40,0.41,0.47,,0.17,0.18,0.20,,1045697,155771,163166,188737
MOZ,Farol,0.53,0.49,0.43,0.46,0.53,,0.16,0.17,0.19,,3772032,515368,561013,661140
MOZ,Gazene,0.57,0.49,0.41,0.45,0.53,,0.23,0.25,0.30,,2131780,453288,495788,596439
MOZ,Mahilene,0.45,0.39,0.40,0.41,0.47,,0.22,0.23,0.26,,1045697,207172,216669,249507
TZA,Boma Subutuni,0.62,0.46,0.48,0.51,0.62,,0.42,0.45,0.55,,15582292,6334833,6858535,8395041
TZA,Gando,0.58,0.41,0.50,0.58,0.68,,0.47,0.56,0.65,,22785495,10507510,12472801,14534607
TZA,Kangagani,0.61,0.50,0.47,0.57,0.67,,0.30,0.36,0.42,,29703934,8300219,10276788,12134041
TZA,Kwale,0.61,0.48,0.47,0.52,0.62,,0.33,0.36,0.43,,22214220,6902082,7643582,9222344
TZA,Mjini Kiuyu,0.57,0.40,0.47,0.57,0.67,,0.47,0.57,0.67,,29703934,13497958,16614387,19542693
TZA,Moa,0.60,0.46,0.48,0.51,0.62,,0.37,0.40,0.48,,15582292,5478581,5935443,7275844
TZA,Mtambwe,0.66,0.47,0.50,0.58,0.68,,0.47,0.56,0.64,,22785495,10466337,12424308,14478435
TZA,Mwandusi,0.62,0.47,0.48,0.51,0.62,,0.37,0.39,0.48,,15582292,5456907,5912076,7247513
TZA,Ndumbani,0.56,0.47,0.48,0.51,0.62,,0.25,0.27,0.33,,15582292,3597785,3907828,4817473
TZA,Selemu,0.54,0.49,0.47,0.57,0.67,,0.17,0.21,0.25,,29703934,4541642,5693957,6776713
Mean,,0.54,0.46,0.48,0.53,0.63,,0.26,0.29,0.35,,17821671,4154986,4778394,5731152
SD,,0.06,0.03,0.07,0.07,0.09,,0.13,0.15,0.17,,10429042,3378075,4062117,4754829
Total,,,,,,,,,,,,516828468,120494599,138573416,166203420
